00000 TOP FRAG%%%%%NP 0.000225954658432 
00001 TOP SBAR 0.000577439682659 
00002 TOP SINV 0.0447390223695 
00003 TOP ADJP 0.000150636438955 
00004 TOP FRAG%%%%%ADVP 2.51060731591e-05 
00005 TOP PP 0.000451909316864 
00006 TOP NP%%%%%S 2.51060731591e-05 
00007 TOP UCP 0.000301272877909 
00008 TOP PRN 0.000225954658432 
00009 TOP FRAG%%%%%SBAR 7.53182194773e-05 
00010 TOP FRAG%%%%%PP 7.53182194773e-05 
00011 TOP NP 0.0321357736436 
00012 TOP X%%%%%ADVP 2.51060731591e-05 
00013 TOP X%%%%%SBARQ 2.51060731591e-05 
00014 TOP FRAG 0.00577439682659 
00015 TOP S%%%%%VP 0.000376591097386 
00016 TOP INTJ 0.000351485024227 
00017 TOP VP 0.000200848585273 
00018 TOP SBARQ 0.00321357736436 
00019 TOP X 0.000853606487409 
00020 TOP ADVP 0.000175742512114 
00021 TOP FRAG%%%%%WHADVP 2.51060731591e-05 
00022 TOP SQ 0.00241018302327 
00023 TOP S 0.907559438628 
00186 PP IN PP@ 0.0114483239781 
00187 PP VB SBAR 1.05709362678e-05 
00188 PP RB FRAG 1.05709362678e-05 
00189 PP NP PP@ 0.00120508673453 
00190 PP PP PRN 2.11418725357e-05 
00191 PP IN PP 0.00635313269696 
00192 PP IN NP%%%%%QP 0.0128648294379 
00193 PP VBG PP 0.00472520851172 
00194 PP DT PP@ 0.000295986215499 
00195 PP TO ADVP 2.11418725357e-05 
00196 PP VBG SBAR 3.17128088035e-05 
00197 PP IN FRAG%%%%%VP 4.22837450713e-05 
00198 PP TO PP@ 0.000856245837694 
00199 PP NN NP 4.22837450713e-05 
00200 PP NN NN 1.05709362678e-05 
00201 PP TO ADJP 0.000232560597892 
00202 PP X PP@ 5.28546813391e-05 
00203 PP IN SBAR 0.00399581390924 
00204 PP PP SBAR 3.17128088035e-05 
00205 PP VB PP@ 1.05709362678e-05 
00206 PP CC NP 0.00058140149473 
00207 PP PRN PP@ 1.05709362678e-05 
00208 PP JJ PP@ 0.00376325331135 
00209 PP IN S%%%%%VP 0.026363915052 
00210 PP DT IN 1.05709362678e-05 
00211 PP JJ PP 8.45674901426e-05 
00212 PP IN CD 1.05709362678e-05 
00213 PP IN FRAG%%%%%NP 2.11418725357e-05 
00214 PP PP PP 0.00228332223385 
00215 PP VBN PP@ 4.22837450713e-05 
00216 PP IN RB 0.000105709362678 
00217 PP IN WHNP 5.28546813391e-05 
00218 PP -LRB- PP@ 1.05709362678e-05 
00219 PP IN ADJP 0.00212475818983 
00220 PP RP NP 0.00024313153416 
00221 PP IN FRAG%%%%%PP 1.05709362678e-05 
00222 PP RP SBAR 1.05709362678e-05 
00223 PP JJ S%%%%%VP 4.22837450713e-05 
00224 PP IN ADVP 0.0021353291261 
00225 PP IN SBAR%%%%%S 2.11418725357e-05 
00226 PP TO 0.00039112464191 
00227 PP IN SBARQ 1.05709362678e-05 
00228 PP RB NP 0.000475692132052 
00229 PP IN X 2.11418725357e-05 
00230 PP VBD SBAR%%%%%S 2.11418725357e-05 
00231 PP IN S 0.00320299368915 
00232 PP IN 0.00245245721414 
00233 PP IN FRAG 8.45674901426e-05 
00234 PP IN FRAG%%%%%SBAR 1.05709362678e-05 
00235 PP RBR NP 2.11418725357e-05 
00236 PP TO RB 1.05709362678e-05 
00237 PP NP%%%%%QP NP 1.05709362678e-05 
00238 PP RB S%%%%%VP 6.3425617607e-05 
00239 IN lest 2.02934431885e-05 
00240 IN over 0.00711285183757 
00241 IN through 0.00555025671206 
00242 IN Under 0.00137995413682 
00243 IN WITH 1.01467215943e-05 
00244 IN Until 0.000365281977393 
00245 IN before 0.0047588124277 
00246 IN nearer 1.01467215943e-05 
00247 IN except 0.000507336079713 
00248 IN Although 0.00146112790957 
00249 IN under 0.00537776244495 
00250 IN save 1.01467215943e-05 
00251 IN By 0.00144083446638 
00252 IN pending 1.01467215943e-05 
00253 IN versus 1.01467215943e-05 
00254 IN On 0.00223227875074 
00255 IN around 0.00179596972218 
00256 IN outside 0.000659536903626 
00257 IN Whether 8.1173772754e-05 
00258 IN Of 0.000598656574061 
00259 IN de 0.000273961483045 
00260 IN underneath 2.02934431885e-05 
00261 IN While 0.0019380238245 
00262 IN 'til 1.01467215943e-05 
00263 IN despite 0.00131907380725 
00264 IN during 0.00373399354669 
00265 IN Once 8.1173772754e-05 
00266 IN ON 1.01467215943e-05 
00267 IN Because 0.000892911500294 
00268 IN like 0.003876047649 
00269 IN OF 0.000172494267102 
00270 IN Over 0.000375428698987 
00271 IN Within 0.000284108204639 
00272 IN Than 2.02934431885e-05 
00273 IN becase 1.01467215943e-05 
00274 IN Notwithstanding 1.01467215943e-05 
00275 IN beneath 9.13204943483e-05 
00276 IN Before 0.000395722142176 
00277 IN because 0.00951762485541 
00278 IN From 0.000426162306959 
00279 IN For 0.00468778537654 
00280 IN Since 0.0010552590458 
00281 IN Except 5.07336079713e-05 
00282 IN Per 3.04401647828e-05 
00283 IN Next 2.02934431885e-05 
00284 IN past 0.00014205410232 
00285 IN opposite 1.01467215943e-05 
00286 IN expect 1.01467215943e-05 
00287 IN Between 7.10270511598e-05 
00288 IN notwithstanding 4.0586886377e-05 
00289 IN Off 2.02934431885e-05 
00290 IN Neither 1.01467215943e-05 
00291 IN beyond 0.000700123790003 
00292 IN out 0.0035310591148 
00293 IN for 0.0808795178278 
00294 IN That 0.000253668039856 
00295 IN since 0.00461675832539 
00296 IN below 0.00133936725044 
00297 IN per 0.00095379182986 
00298 IN Across 1.01467215943e-05 
00299 IN behind 0.000771150841163 
00300 IN above 0.0014205410232 
00301 IN between 0.00481969275727 
00302 IN During 0.000700123790003 
00303 IN Along 0.000131907380725 
00304 IN across 0.000730563954786 
00305 IN FOR 6.08803295655e-05 
00306 IN AMONG 1.01467215943e-05 
00307 IN Inside 3.04401647828e-05 
00308 IN Up 8.1173772754e-05 
00309 IN Against 5.07336079713e-05 
00310 IN Near 1.01467215943e-05 
00311 IN although 0.00125819347769 
00312 IN UNDER 1.01467215943e-05 
00313 IN Unless 0.000182640988697 
00314 IN along 0.00095379182986 
00315 IN Toward 1.01467215943e-05 
00316 IN by 0.045487752907 
00317 IN vs. 9.13204943483e-05 
00318 IN Among 0.00110599265377 
00319 IN about 0.0156868315847 
00320 IN toward 0.00134951397204 
00321 IN of 0.232613592548 
00322 IN against 0.00502262718916 
00323 IN Through 0.000121760659131 
00324 IN aboard 6.08803295655e-05 
00325 IN onto 0.000284108204639 
00326 IN among 0.00311504352944 
00327 IN via 0.0015930352903 
00328 IN besides 8.1173772754e-05 
00329 IN into 0.00934513058831 
00330 IN within 0.00175538283581 
00331 IN while 0.00472837226292 
00332 IN down 0.00144083446638 
00333 IN Till 1.01467215943e-05 
00334 IN Behind 4.0586886377e-05 
00335 IN en 5.07336079713e-05 
00336 IN throughout 0.000487042636524 
00337 IN post 1.01467215943e-05 
00338 IN from 0.0452442315888 
00339 IN Though 0.00047689591493 
00340 IN Upon 3.04401647828e-05 
00341 IN next 0.000801591005946 
00342 IN until 0.00273961483045 
00343 IN fiscal 1.01467215943e-05 
00344 IN that 0.0488564644763 
00345 IN atop 4.0586886377e-05 
00346 IN Despite 0.000781297562757 
00347 IN a\/k\/a 1.01467215943e-05 
00348 IN but 8.1173772754e-05 
00349 IN So 0.00047689591493 
00350 IN Beneath 1.01467215943e-05 
00351 IN with 0.0430322462812 
00352 IN than 0.0162854881588 
00353 IN albeit 4.0586886377e-05 
00354 IN unlike 0.000375428698987 
00355 IN whether 0.00252653367697 
00356 IN inside 0.000233374596668 
00357 IN Alongside 2.02934431885e-05 
00358 IN up 0.00274976155204 
00359 IN worth 7.10270511598e-05 
00360 IN Down 2.02934431885e-05 
00361 IN near 0.000832031170729 
00362 IN DESPITE 2.02934431885e-05 
00363 IN Throughout 4.0586886377e-05 
00364 IN minus 1.01467215943e-05 
00365 IN Out 7.10270511598e-05 
00366 IN nearest 1.01467215943e-05 
00367 IN then 1.01467215943e-05 
00368 IN Whereas 1.01467215943e-05 
00369 IN alongside 3.04401647828e-05 
00370 IN as 0.0354729386935 
00371 IN at 0.0442498528725 
00372 IN Above 3.04401647828e-05 
00373 IN in 0.151764514885 
00374 IN THROUGHOUT 1.01467215943e-05 
00375 IN THAN 1.01467215943e-05 
00376 IN if 0.00824928465613 
00377 IN par 1.01467215943e-05 
00378 IN Around 2.02934431885e-05 
00379 IN whereas 2.02934431885e-05 
00380 IN After 0.00164376889827 
00381 IN beside 4.0586886377e-05 
00382 IN till 4.0586886377e-05 
00383 IN astride 2.02934431885e-05 
00384 IN Besides 0.000213081153479 
00385 IN Amid 5.07336079713e-05 
00386 IN plus 0.000101467215943 
00387 IN With 0.00156259512551 
00388 IN About 0.000344988534205 
00389 IN towards 5.07336079713e-05 
00390 IN unless 0.000700123790003 
00391 IN Like 0.000436309028553 
00392 IN Unlike 0.000213081153479 
00393 IN though 0.00190758365972 
00394 IN after 0.00928425025874 
00395 IN upon 0.000344988534205 
00396 IN v. 1.01467215943e-05 
00397 IN AS 1.01467215943e-05 
00398 IN Without 0.000263814761451 
00399 IN amongst 1.01467215943e-05 
00400 IN IN 5.07336079713e-05 
00401 IN on 0.0506930210849 
00402 IN Outside 4.0586886377e-05 
00403 IN IF 4.0586886377e-05 
00404 IN ago 0.00114657954015 
00405 IN Beyond 7.10270511598e-05 
00406 IN off 0.00115672626174 
00407 IN amid 0.000588509852467 
00408 IN As 0.00328753779654 
00409 IN without 0.00252653367697 
00410 IN so 0.00108569921059 
00411 IN At 0.00343973862045 
00412 IN In 0.017604561966 
00413 IN If 0.00390648781379 
00414 IN Atop 1.01467215943e-05 
00415 IN once 0.000314548369422 
00416 NP PRN NNS 1.30711692488e-05 
00417 NP PRP$ 7.18914308682e-05 
00418 NP CD NNS 0.0100680681139 
00419 NP NN QP 3.26779231219e-06 
00420 NP QP QP 4.90168846829e-05 
00421 NP PRP NP 3.26779231219e-06 
00422 NP PRP NN 4.24813000585e-05 
00423 NP WDT NNS 9.80337693658e-06 
00424 NP NNS SBAR 0.000352921569717 
00425 NP NNP NNS 0.0027612845038 
00426 NP NNP NNP 0.0379554077061 
00427 NP JJS NP@ 0.000336582608156 
00428 NP DT NNPS 0.000950927562848 
00429 NP DT NN 0.0958606874781 
00430 NP NP%%%%%QP ADVP 8.82303924292e-05 
00431 NP VB NP@ 4.24813000585e-05 
00432 NP NNS RBR 6.53558462438e-06 
00433 NP NP X%%%%%PP 3.26779231219e-06 
00434 NP DT NP 4.24813000585e-05 
00435 NP DT NX 0.000379063908214 
00436 NP NP NAC 3.26779231219e-06 
00437 NP CD NNP 2.28745461853e-05 
00438 NP WRB 3.26779231219e-06 
00439 NP QP CD 1.96067538732e-05 
00440 NP QP CC 3.26779231219e-06 
00441 NP VBN VBG 6.53558462438e-06 
00442 NP PDT DT 7.84270154926e-05 
00443 NP NP%%%%%FRAG NP@ 3.26779231219e-06 
00444 NP NP SBAR%%%%%FRAG 3.26779231219e-06 
00445 NP VBD NP@ 2.61423384975e-05 
00446 NP QP JJ 2.28745461853e-05 
00447 NP IN RB 6.53558462438e-06 
00448 NP NNS JJR 3.26779231219e-06 
00449 NP JJ NN 0.0157703656986 
00450 NP PRP$ NNS 0.00479385132199 
00451 NP PRP$ NNP 3.59457154341e-05 
00452 NP WP$ NP@ 9.80337693658e-06 
00453 NP JJ NX 0.000117640523239 
00454 NP VBD NP%%%%%QP 3.26779231219e-06 
00455 NP NN SBAR%%%%%S 3.26779231219e-05 
00456 NP NN DT 9.80337693658e-06 
00457 NP ADVP NNS 6.53558462438e-06 
00458 NP UCP NN 2.94101308097e-05 
00459 NP LST NP@ 2.28745461853e-05 
00460 NP DT ADJP 0.000192799746419 
00461 NP NN JJ 6.8623638556e-05 
00462 NP CD NX 3.26779231219e-06 
00463 NP NP%%%%%QP SBAR 1.6338961561e-05 
00464 NP CD NN 0.0113751850387 
00465 NP MD 3.26779231219e-06 
00466 NP JJ JJR 1.30711692488e-05 
00467 NP NP NN 0.00811066051886 
00468 NP NP%%%%%QP SBAR%%%%%S%%%%%VP 5.88202616195e-05 
00469 NP NP NX 0.00020913870798 
00470 NP FW FW 1.30711692488e-05 
00471 NP NN CD 0.000424813000585 
00472 NP NP NP 0.00739501400249 
00473 NP RB NP@ 0.0026534473575 
00474 NP NN '' 6.53558462438e-06 
00475 NP VBG 0.00044768754677 
00476 NP VBD 6.53558462438e-06 
00477 NP NNS RB 3.26779231219e-06 
00478 NP VBN 2.61423384975e-05 
00479 NP CD JJR 1.30711692488e-05 
00480 NP VBP 1.30711692488e-05 
00481 NP NNS NP@ 0.0017155909639 
00482 NP VBZ 4.90168846829e-05 
00483 NP JJ QP 3.26779231219e-06 
00484 NP FW POS 3.26779231219e-06 
00485 NP PRP$ FW 6.53558462438e-06 
00486 NP JJ NNPS 0.000202603123356 
00487 NP PP QP 3.26779231219e-06 
00488 NP PRP JJ 6.53558462438e-06 
00489 NP X NP@ 3.26779231219e-06 
00490 NP VB IN 3.26779231219e-06 
00491 NP WP NN 6.53558462438e-06 
00492 NP CC NX 3.26779231219e-06 
00493 NP ADJP NP@ 0.00134306264031 
00494 NP JJR NP@ 0.000973802109033 
00495 NP VB POS 3.26779231219e-06 
00496 NP CC NP 6.53558462438e-06 
00497 NP DT NP@ 0.128473254754 
00498 NP CC NN 1.30711692488e-05 
00499 NP NN RB 8.82303924292e-05 
00500 NP QP NX 4.24813000585e-05 
00501 NP , NP@ 6.53558462438e-06 
00502 NP DT PRP 3.26779231219e-05 
00503 NP QP NP 9.80337693658e-06 
00504 NP JJS 0.000705843139433 
00505 NP JJR 0.000519578977638 
00506 NP QP NN 0.00306518918884 
00507 NP DT PRN 6.53558462438e-06 
00508 NP JJ JJ 1.30711692488e-05 
00509 NP JJR PRN 3.26779231219e-06 
00510 NP NNP : 9.47659770536e-05 
00511 NP VBD NN 1.30711692488e-05 
00512 NP NP FRAG 6.53558462438e-06 
00513 NP RBS JJ 6.53558462438e-06 
00514 NP PRP NNP 3.26779231219e-06 
00515 NP PRP NNS 1.6338961561e-05 
00516 NP NNP . 0.000258155592663 
00517 NP DT VBZ 6.53558462438e-06 
00518 NP '' NP@ 3.26779231219e-06 
00519 NP NP ADVP 0.00144436420199 
00520 NP CD DT 1.30711692488e-05 
00521 NP RB NN 0.000284297931161 
00522 NP NNP '' 3.26779231219e-06 
00523 NP : NP@ 0.000186264161795 
00524 NP NP NP@ 0.0888414695916 
00525 NP RB NX 6.53558462438e-06 
00526 NP PRP$ NP@ 0.0132345588644 
00527 NP NN NNS 0.013554802511 
00528 NP NN NNP 6.8623638556e-05 
00529 NP UCP NP@ 5.55524693073e-05 
00530 NP CD JJ 1.30711692488e-05 
00531 NP JJ NNS 0.0256456340661 
00532 NP JJ NNP 0.00134959822494 
00533 NP VBG NP 3.26779231219e-06 
00534 NP WP$ NNS 6.53558462438e-06 
00535 NP RB CD 9.80337693658e-05 
00536 NP NNPS 0.000830019247297 
00537 NP RP NNS 3.26779231219e-06 
00538 NP NAC NP@ 0.000160121823297 
00539 NP VBN POS 6.53558462438e-06 
00540 NP QP JJR 1.30711692488e-05 
00541 NP NNS S 3.26779231219e-06 
00542 NP NNS VBG 3.26779231219e-06 
00543 NP RB DT 0.000130711692488 
00544 NP ADJP%%%%%QP NN 2.28745461853e-05 
00545 NP NN JJR 3.26779231219e-06 
00546 NP S NP@ 1.6338961561e-05 
00547 NP DT VBD 3.26779231219e-06 
00548 NP NN VBZ 2.28745461853e-05 
00549 NP PDT NP 9.80337693658e-06 
00550 NP DT FW 2.61423384975e-05 
00551 NP RP NP@ 3.26779231219e-06 
00552 NP IN QP 6.53558462438e-06 
00553 NP WRB JJ 6.53558462438e-06 
00554 NP PRP 0.0565883594702 
00555 NP RB 0.000914981847414 
00556 NP RB QP 2.61423384975e-05 
00557 NP NP PP 0.111111474199 
00558 NP QP IN 1.30711692488e-05 
00559 NP PRP$ JJR 3.26779231219e-06 
00560 NP PRP$ JJS 3.26779231219e-05 
00561 NP RB NNPS 6.53558462438e-06 
00562 NP RBS NNS 6.53558462438e-06 
00563 NP VBZ SBAR 3.26779231219e-06 
00564 NP `` NNS 1.30711692488e-05 
00565 NP PRP NP@ 8.82303924292e-05 
00566 NP JJ DT 3.26779231219e-06 
00567 NP NNS : 6.8623638556e-05 
00568 NP IN NP 6.53558462438e-06 
00569 NP WRB NP@ 3.26779231219e-06 
00570 NP IN NN 0.000228745461853 
00571 NP NP SBAR 0.0109078907381 
00572 NP NNS . 3.26779231219e-06 
00573 NP RB RBR 1.96067538732e-05 
00574 NP JJS NX 6.53558462438e-06 
00575 NP ADJP NP 9.80337693658e-06 
00576 NP # CD 4.24813000585e-05 
00577 NP ADJP NX 1.30711692488e-05 
00578 NP JJS NN 2.28745461853e-05 
00579 NP PRP DT 2.61423384975e-05 
00580 NP NP NP%%%%%QP 4.24813000585e-05 
00581 NP JJ SBAR 6.53558462438e-06 
00582 NP ADJP NN 0.000843090416545 
00583 NP UCP NNPS 3.26779231219e-06 
00584 NP NNS POS 0.000751592231804 
00585 NP PDT NP@ 0.000921517432038 
00586 NP DT QP 0.000320243646595 
00587 NP RB JJ 0.000173192992546 
00588 NP JJ VB 3.26779231219e-06 
00589 NP QP NNP 1.30711692488e-05 
00590 NP QP NNS 0.0042350588366 
00591 NP EX 0.0028135691808 
00592 NP NP%%%%%ADJP PP 3.26779231219e-06 
00593 NP NP QP 0.000101301561678 
00594 NP NN RP 3.26779231219e-06 
00595 NP NAC NN 2.28745461853e-05 
00596 NP PP NP 6.53558462438e-06 
00597 NP DT RRC 3.26779231219e-06 
00598 NP PRP$ ADJP 3.26779231219e-06 
00599 NP IN JJ 1.30711692488e-05 
00600 NP NNP PRN 6.53558462438e-06 
00601 NP JJR NX 1.6338961561e-05 
00602 NP NP%%%%%QP PP 0.00270246424218 
00603 NP CD RB 8.16948078048e-05 
00604 NP NNP PRP 3.26779231219e-06 
00605 NP JJR NN 0.000771198985677 
00606 NP PRN NN 6.53558462438e-06 
00607 NP WP$ NN 6.53558462438e-06 
00608 NP PP NP@ 1.30711692488e-05 
00609 NP QP , 3.26779231219e-06 
00610 NP PRP RB 3.26779231219e-06 
00611 NP NAC NNP 2.61423384975e-05 
00612 NP NAC NNS 1.6338961561e-05 
00613 NP IN NP@ 0.000303904685034 
00614 NP PDT 9.80337693658e-06 
00615 NP NNP QP 3.26779231219e-06 
00616 NP IN CD 3.26779231219e-05 
00617 NP ADVP NN 2.61423384975e-05 
00618 NP NAC POS 9.80337693658e-06 
00619 NP IN NNS 6.53558462438e-06 
00620 NP IN NNP 6.53558462438e-05 
00621 NP ADVP NP 3.26779231219e-06 
00622 NP NNS CD 9.80337693658e-06 
00623 NP `` NP@ 0.00146397095586 
00624 NP ADJP JJ 2.28745461853e-05 
00625 NP DT 0.00763683063359 
00626 NP NNS S%%%%%VP 0.000277762346536 
00627 NP VBZ S%%%%%VP 3.26779231219e-06 
00628 NP S%%%%%VP PRN 3.26779231219e-06 
00629 NP VB VBG 3.26779231219e-06 
00630 NP VBN NP@ 0.000584934823882 
00631 NP VB CD 1.30711692488e-05 
00632 NP WDT NN 1.30711692488e-05 
00633 NP POS 1.30711692488e-05 
00634 NP NP CD 1.6338961561e-05 
00635 NP ADJP%%%%%QP JJR 6.53558462438e-06 
00636 NP WDT NX 3.26779231219e-06 
